,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
88,scent,of rosemary and sage,,,,,he,,,
89,scent,of herbs and spices,,,,,Patroclus|his,,,
90,scent,his,sweet,,,,,,,
91,smelled,it,wonderful,,,,,,,
92,reek|perfumes|perfumes,of perfumes|perfumes|oils,,they|they,,,Easterners|they|they,,,
93,scent,his,soft,,,,Achilles,,,
94,scent,of sweat|pomegranates|sandalwood,,,,,his,,,
95,inhale|scent,his,,,,,,,,
96,scent,of his lover,faint,,,,,,as his tears fell,
97,scent,her|her,,,,,Achilles,,,
98,scent,of dinners,,the air,,the hall,Patroclus,,,
99,scent,of rosemary|sage,,,,,one ' s,when|when he|he passed|passed,when|when he|he passed|passed,
100,smell,,,,,,He,,,
101,scent,of something floral|floral|Deidameia,floral|floral,,,,,,,
102,smelling,of the sea,,,,,His lover,,,
103,aroma,the fish,,,,,their|their,,,making their|their stomachs growl
104,smelled,smoke,,,,,they,,,
105,perfume,beads of,,,,,,,,
106,scent,of food,,,,the room,Patroclus,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,smell,,sickening,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,perfume,the flower ' s,,,,,Her|she,,,
117,smell,of his cologne,,,,,,,,
118,scent,of his cologne,intoxicating,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
122,smelling,,too nice,,,,,,,
123,scent,,,,,,he,,,
124,scents,,Dizzying,,,,me|me,,,lifting me|me by the nostrils from|transporting me
125,scent,of prophecy,lingering,,,,my,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,fragrant|fragrant,,fragrant|fragrant,,,,,,,
129,sniffed,,especially wicked,,,,,,,
130,smelling|scent,of several hundred roses,,,,about the desk,A blind pig|she,the previous morning,,
131,sniffed,a rose|it,,,,,,,,
132,Perfume|Perfume|Perfume,Perfume|Perfume the Enforcer|Shampoo,slightly different,,,,,,,
133,whiff,of something very|very,very|very good,,,,we|we,,,that made both of our mouths water
134,Perfume|Perfume,Shampoo,,,,,,,,
135,Perfume,,,,,,Nabiki,,,
136,Perfume|Perfume|Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
137,Perfume|Perfume,Perfume|Perfume,,,,,,,,
138,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume|Perfume|Perfume,,,,,,,,
139,Perfume,Airen,,,,,,,,
140,Perfume|Perfume|Perfume,,,,,,,,,
141,Perfume,a stool,,,,,,,,
142,Perfume,,,,,,her,,,
143,Perfume,HIYAAA,,,,,,,,
144,Perfume|smell|scent,of horseradishes,too fast|distinctive,,,,she,,,
145,Perfume|smell|Perfume,air,advancing|funny,,,,,,,
146,Perfume,Nabiki,,,,The hallway,,,,
147,Perfume,,,,,,,,,a much distressed
148,Perfume|Perfume,a charging express Amazon,,,,,Ranma,,,
149,Perfume,Nabiki,,,,,,,,
150,Perfume|Perfume,Perfume|Perfume,,,,,,,,
151,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
152,Perfume|Perfume,,,,,,,,,
153,Perfume|Perfume,,,,,the room,,,,
154,Perfume|Perfume,,,,,,,,,
155,Perfume|Perfume,,,,,the lockers,,,,
156,Perfume,Nabiki,,,,under the lockers,,,,
157,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
158,Perfume,,,,,at the showers,,,,
159,Perfume,,,,,,Nabiki,,,
160,Perfume,,,,,,,,with cold water,
161,Perfume,Ukyo - san,,,,,,,,
162,Perfume,,,,,out of the lockers,,,,
163,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
164,Perfume,,very clumsy,,,,,,,
165,Perfume purred|Perfume,Nabiki,,,,,,,,
166,Perfume,,very happy,,,,,,,
167,Perfume,cousin,,,,,,,,
168,Perfume,,,,,,Shampoo,,,
169,Perfume,Keiko,,,,,,,,
170,Perfume|Perfume,Perfume|Perfume,,,,,,,,
171,Perfume,chan,,,,,,,,
172,Perfume,,,,,between the bathroom and the front door,,,,
173,Perfume|Perfume,Perfume|Perfume,,,,,,,,
174,Perfume|Perfume,Perfume|Perfume,,,,,,,,
175,Perfume|Perfume,Perfume|Perfume,,,,,,,,
176,smelled|aroma,of fish sausages,horrid,,,all around,she|she,,,clear of the constricting silks
177,Perfume,,,,,,the Cat,,,
178,Perfume,Meorw,,,,,,,,
179,Perfume|Perfume,Perfume|Perfume,,,,,,,,
180,Perfume|Perfume,Perfume|Perfume,,,,,,,,
181,Perfume|Perfume,,,,,,,,,
182,Perfume|Perfume,Perfume|Perfume,,,,,,,,
183,Perfume,,,,,,her,,,
184,Perfume|Perfume,Perfume|Perfume,,,,,,,,
185,Perfume|Perfume,Perfume|Perfume,,,,,,,when she ' s on a mission from an,
186,Perfume,the,,,,,,,,
187,sniffed|Perfume,,,,,,,,,
188,Perfume,,,,,,she,,,
189,Perfume|Perfume,Perfume|Perfume,,,,,,,,
190,Perfume|Perfume,Perfume|Perfume|Tendo,,,,,,,,
191,Perfume|sniff|sniff,,,,,,,,,gave a cat ' s equivalent to a sniff|sniff
192,Perfume,,,,,,she,,,beginning to feel depressed
193,Perfume|Perfume,,,,,,Perfume|Perfume ' s sensitive ears,,,
194,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,that made Perfume|Perfume ' s hackles arch|backing up in her cage
195,Perfume,powders,,,,,,,,held her breath to prevent being overcome
196,sniffed,,,the air,,,,,,
197,Perfume|Perfume,,,,,into our room,,,,
198,Perfume|Perfume,Perfume|Perfume|Shampoo|Shampoo,,,,,,,,
199,Perfume,chan,,,,,,,,
200,Perfume|Perfume,Perfume|Perfume,,,,,,,,
201,Perfume|Perfume,,,,,,,,,
202,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,at,,
203,Perfume|Perfume,,,,,,,,,
204,Perfume,Lon,,,,,,,,
205,Perfume|Perfume,Perfume|Perfume,,,,,,,,felt her heart leap into her mouth
206,Perfume,,,,,,,,,felt twin emotions war in her
207,Perfume|Perfume,,,,,,,,,
208,Perfume,Nabiki,,,,,,,,
209,Perfume|Perfume,,,,,,,,,
210,Perfume|Perfume,,,,,,,,,
211,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
212,Perfume,,,,,within her cage,,,,
213,Perfume,Shampoo,,,,,She,,,felt a sort of relief
214,Perfume,,,,,behind the Gymnasium,,,,
215,Perfume|Perfume,the caged|caged Perfume|Perfume,caged|caged,,,,,,,
216,Perfume|Perfume,Perfume|Perfume,,,,,,,,
217,Perfume,,,,,,,,,the hammering of her heart
218,Perfume|Perfume,Perfume|Perfume,,,,,,,,
219,Perfume|Perfume,Ranma|Shampoo|Ukyo|Keiko|Perfume|Perfume,,,,,,,,
220,Perfume,,docile,,,,,for most of the day,,
221,Perfume|Perfume,Perfume|Perfume,,,,,,,,
222,Perfume|Perfume,the girl,,,,,,,,
223,Perfume|Perfume,,,,,,,,when she was captured by,
224,Perfume|Perfume,,,,,,,,,
225,Perfume|Perfume,,,,,,,,,
226,Perfume,Ukyo,,,,,,,,
227,Perfume,Ukyo,,,,,,,,
228,Perfume,Ranma,,,,,,,,
229,Perfume,Shampoo,,,,,,,,
230,Perfume,,,,,,',,,
231,Perfume,Nabiki|Shampoo,,,,,,,,
232,Perfume|Perfume,stuffed Panda|Nabiki,,,,,,,,
233,Perfume,Shampoo,,slight breeze,,,,,,
234,Perfume|Perfume,Perfume|Perfume,,,,,,,,
235,Perfume|Perfume,,,,,,,,,
236,Perfume|Perfume,Perfume|Perfume,,,,,,,,
237,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,everyone around the table,,,
238,Perfume|Perfume,Perfume|Perfume,,,,,,,,
239,Perfume|Perfume,,,,,,,,,
240,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
241,Perfume|Perfume,Perfume|Perfume|Shampoo,,,,,,,,
242,Perfume,Tendo Nabiki,,,,,,,,
243,Perfume,Saotome,,,,,,,,
244,Perfume,,,,,,Cologne,,,
245,Perfume|Perfume,Perfume|Perfume,,,,,,,,
246,fetish,,,,,,I,,,
247,Perfume|Perfume,Perfume|Perfume,,,,,,,,
248,Perfume,Kuonji|Ukyo,,,,,,,,
249,Perfume|Perfume,Perfume|Perfume,,,,,,,,
250,Perfume|Perfume,Perfume|Perfume,,,,,,,,
251,Perfume|Perfume,Perfume|Perfume,,,,,,,,
252,Perfume,,,,,,,,,keeping Cologne at bay
253,Perfume,Lotion,,,,,,,,
254,Perfume,Shampoo,,,,,,,,
255,Perfume|Perfume,Perfume|Perfume|Lotion,,,,,,,,
256,Perfume|Perfume,,Perfume|Perfume,,,,,,,
257,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
258,sniffed|feminine|feminine,the,decidedly feminine|feminine,the air,,,,,,
259,Perfume,chan,,,,,,,,
260,reeked|perfume,of feminine juices,,,,,she,when she went to,,
261,Perfume|Perfume,Perfume|Perfume,,,,,,,,
262,Perfume,Ranma,,,,,,,,
263,smell,of newness,clean,The|The|in the air,,The|The place,,,,
264,Perfume,Cologne,,,,,,,,
265,Perfume,,,,,,,,,with a mixture of longing and apprehension|with even greater alarm
266,smelled,Nabiki|trouble,,,,,,,,
267,Perfume,Nabiki,,,,,,,,
268,Perfume,Ukyo|Ukyo|Ranma,,,,,,,,
269,Perfume,Ranma,,,,,,,,
270,Perfume,Shampoo,,,,,,,,
271,Perfume,Mousse,,,,,,,,
272,Perfume,,,,,,,,,make him leave her alone
273,Perfume|Perfume,Shampoo,,,,,Mousse,,,
274,Perfume,,weak,,,,,,,
275,Perfume,,,,,,Shampoo,,,
276,Perfume|Perfume,,,,,,,,,
277,Perfume,Shampoo,,,,,,,,
278,Perfume,,,,,,Mousse,,,
279,Perfume|Perfume|Perfume,,,,,,,,,
280,Perfume|Perfume|Perfume,,,,,,,,,
281,Perfume,,,,,,she,,,
282,Perfume|Perfume,Perfume|Perfume,,,,,,,,
283,Perfume,,,,,towards the exit,he,,,
284,Perfume,Shampoo,,,,,,,,
285,Perfume|Perfume|Perfume,Perfume|Perfume,,,,across the room|in a corner,Mousse,,,
286,Perfume,Shampoo,,,,,,,,"doubled over , weeping tears uncontrollably"
287,Perfume,Kuonji Ukyo,,,,,,,,
288,Perfume,,,,,,you,,,
289,Perfume,,,,,,you,,,
290,Perfume|Perfume,Perfume|Perfume,,,,,,,,
291,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
292,Perfume|Perfume|Perfume|Perfume,,,,,,,,,
293,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
294,Perfume,,,,,,,,,that almost knocked both of them sprawling
295,Perfume|Perfume,,,,,,,,,
296,smell,of recent sex,musky,,,,,,,
297,smelling,,,,that,,,,,
298,smells|nose,it,,,like Salmon,,,,,
299,Perfume,Shampoo,,,,,,,,
300,Perfume|Perfume,Perfume|Perfume,,,,,,,,
301,Perfume,Shampoo,,,,,,,,
302,Perfume,Shampoo,,,,,,,,able to come back home to bring shame upon our tribe
303,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
304,Perfume|Perfume,,,,,,,,,
305,Perfume|Perfume|Perfume,,,,,,,,,
306,Perfume,Shampoo,chilling,,,,,,,
307,Perfume|Perfume,,,,,,,,,
308,Perfume|Perfume,,,,,,,,,
309,Perfume,trash,,,,,,,,
310,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
311,Perfume,the double - bladed,,,,,he,,,
312,Perfume,Shampoo,,,,,Ranma,,,
313,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
314,Perfume,Ranma,,,,,,,,
315,Perfume,Shampoo,,,,,,,,
316,Perfume|Perfume,Perfume|Perfume,,,,across the yard,he,,,
317,Perfume|Perfume,,,,,,,,,
318,Perfume,,,,,,,,,numb shock rocket through her body
319,Perfume,,,,,,Shampoo,,,
320,Perfume,,,,,,him|he,,,
321,Perfume,,,,,,he|he,,,
322,nostrils,,,,,,He|his,,,
323,Perfume|Perfume|Perfume|Perfume,,,air,,,her,,,
324,Perfume,,,,,,other,,,
325,Perfume|Perfume,,,,,,,,,
326,Perfume,,,,,,,,at,have terrible consequences for Ranma
327,Perfume|Perfume,Perfume|Perfume,,,,,,,,in uncontrollable laughter
328,Perfume|Perfume,,,,,,,after,,
329,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
330,Perfume,,,,,,,,,with an even more disconcerted Ukyo .
331,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume,,,,in your restaurant,,,,
332,Perfume|Perfume,Perfume|Perfume,,,,,,,,
333,Perfume|Perfume|Perfume,,,,,,,,,
334,Perfume|Perfume,Perfume|Perfume,,,,,,,,
335,Perfume|Perfume,Perfume|Perfume,,,,,,,,
336,Perfume,Kuno Kodachi,,,,,,,,
337,Perfume|Perfume,,,,,,,,,
338,Perfume,,bad,,,,,,,
339,Perfume,,,,,,,,,before going into another frantic bout of trying to remain upright
340,Perfume|Perfume,,,,,,,,,
341,Perfume,,,,,,She,,,
342,Perfume|Perfume,,,,,,,,,
343,Perfume,,,,,,,,,that made her pulse quicken
344,Perfume,,Vaguely,,,,,,,
345,Perfume,,,,,,,,,made her feel like a giddy teenager
346,Perfume,Ranma,,,,,,at,,that drew her attention back
347,Perfume|Perfume,Perfume|Perfume,,,,,,,,
348,Perfume,Mikado,,,,off the nearby wall,,,,
349,Perfume|Perfume,Perfume|Perfume,,,,,,,,
350,Perfume,,seething,,,,,,,
351,Perfume|Perfume,,,,,,,,,
352,Perfume|Perfume,,,,,,,,,
353,Perfume|fragrant|fragrant,,fragrant|fragrant,,,,,,,
354,Perfume|Perfume,,,,,,,,,
355,Perfume|Perfume|sniff|Perfume,,,,,,,,,
356,Perfume,Shampoo,,,,,,,,
357,Perfume,Kodachi,,,,,,,,
358,Perfume|Perfume|Perfume,Keiko,,off,,,,,,
359,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
360,Perfume,,very bad,,,,,,,
361,Perfume|Perfume,,,,,,,,,
362,Perfume|Perfume,Skate|other Kuno,,,,,,,,
363,Perfume,,,,,,her,,,
364,Perfume,,,,,,,,,made her totally lose focus
365,Perfume,Jean Simmons|Jean Simmons,,,,,,,,
366,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
367,Perfume|Perfume,,,,like Shampoo and Perfume|Perfume,,,,,
368,Perfume|Perfume,She,,,like Shampoo and Perfume|Perfume - chan,,,,,
369,Perfume,with a pail of water|Ukyo,,,,,,,,
370,Perfume,,,,,,,,whenever she gets wet,
371,Perfume|Perfume,Perfume|Perfume,,,,,,,,
372,Perfume|Perfume,,,,,,,,,
373,Perfume|Perfume,,,,,,,,,
374,Perfume|Perfume,Perfume|Perfume,,,,,,,,
375,Perfume,Nabiki,,,,,,,,
376,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
377,Perfume|Perfume,,,,,,,,,
378,Perfume,,,,,,,,,would indeed commit murder
379,Perfume|Perfume|Perfume,,,,,,,,,Azusa went fish - eyed|she stared|in terror
380,Perfume,Azusa,,,,,,,,
381,Perfume|Perfume,Perfume|Perfume ' s,,,,,He,,,
382,Perfume,Ucchan,,,,,,,,
383,Perfume|Perfume|Perfume|Perfume|Perfume|Perfume|Perfume|Perfume|Perfume,Perfume|Perfume|Perfume|Perfume|Perfume|Perfume|Airen,,,,,,,,
384,Perfume|Perfume|Perfume,,,,,,,,,
385,Perfume,Ukyo,,,,,,,,
386,Perfume,Shampoo,,,,,,,,
387,Perfume,,,,,,Amazons,,,
388,Perfume|Perfume,Perfume|Perfume,,,,,,,,filter out pain
389,Perfume,,,,,,,,,caused her to whirl
390,Perfume,,,,,against the nearest wall,,,,
391,Perfume|Perfume,,,,,,,,,
392,sniffed|fragrant|fragrant,you,fragrant|fragrant,,,,,,,
393,Perfume|Perfume,,,,,,,,,
394,Perfume,Mikado,,,,,,,,
395,Perfume|Perfume,,,,,,,,,
396,Perfume,,,,,,,,,that she had no chance to free herself or resist
397,Perfume|Perfume,Perfume|Perfume,,,,,,,,
398,Perfume,Nabiki,helpless,,,,,,,
399,Perfume|Perfume|Perfume,,,,,,,,,she almost bubbled with happiness
400,Perfume|Perfume,,,,,,,,,causing Perfume|Perfume to look at her with eyes nearly watering
401,Perfume,,,,,,,,,immediately halted her wobble
402,Perfume|Perfume,,,,,,,,,
403,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
404,Perfume,Ukyo,,,,,,,,
405,Perfume,her,,,,,,,,
406,Perfume|Perfume,Perfume|Perfume,,,,,you,,,
407,Perfume|Perfume,Perfume|Perfume,,,,,,,,
408,Perfume,Nabiki,,,,,,,,
409,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
410,Perfume|Perfume,Perfume|Perfume|Ukyo,,,,,,,,
411,Perfume|Perfume,the lovely Perfume|Perfume,,,,,,,,
412,Perfume,Sansenin Mikado,,,,,,,,
413,Perfume|Perfume,Perfume|Perfume,,,,elsewhere in the building,,,,
414,Perfume,,,,,,she,,,
415,Perfume,her Airen,,,,the dressing room,,,,
416,Perfume,Ukyo,,,,,,,,
417,Perfume|Perfume|Perfume,,,,,,,,,
418,Perfume,rare black Ferret|muzzled Ferret,,,,,,,,
419,Perfume,Spatula girl,,,,,,,,
420,Perfume|Perfume,Perfume|Perfume,,,,,,,,
421,Perfume|Perfume,,Fair,,,,,,,
422,Perfume|Perfume,,,,,,,,,
423,Perfume|Perfume|Perfume,,,,,,,,,
424,Perfume,Ukyo,,,,,,,,
425,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
426,Perfume,those,,,,,,,,
427,Perfume|Perfume,Ukyo|Perfume|Perfume|Mikado,,,,,,,,
428,Perfume,,,,,,,,,in both shock and anger
429,Perfume|Perfume,Perfume|Perfume,,,,,,,,
430,Perfume,Ucchan,,,,,,,,in an attempt to intercept her beloved
431,Perfume,Azusa|Ukyo|Ukyo,,,,,,,,a shocked Ukyo|Ukyo
432,Perfume|Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
433,Perfume|Perfume,,,,,,,,,
434,Perfume|Perfume,Ukyo|Perfume|Perfume,,,,,,,,
435,Perfume|Perfume,Perfume|Perfume,,,,,' s,,,drive her into a coma
436,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
437,Perfume,Mousse,,,,,,,,
438,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,through the red haze of pain that dulled her senses
439,Perfume|Perfume|Perfume,,,,,,,,,
440,Perfume,,,,,,She,,,that helped her clear her mind and recover|a sudden jolt of anger
441,Perfume|Perfume,,quite noticeably angry,,,,,,,
442,Perfume,Ucchan,,,,,,,,
443,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
444,Perfume|Perfume,,,,,,,,,
445,Perfume,,,,,,Mousse,,,kicked him into semi - consciousness
446,Perfume,,,,,,Ukyo,,,a sudden new surge of anger
447,Perfume,Akane,,,,,,,,
448,Perfume,Ranma,,,,,,,,
449,Perfume,Spatula,,,,,,,,
450,smell,the Cha,,,,,Ukyo,,,
451,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
452,Perfume|Perfume,Perfume|Perfume,,,,,,,,
453,Perfume,,,,,,,,as Mikado ' s wind decreased,
454,Perfume,,such,,,,,,,that it was generating shock waves all through the arena
455,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume|Perfume|Perfume,,,,,,,,
456,Perfume,,,The,,,,,,
457,Perfume,frozen,,,,,,,,that made her heart feel itself like an ice block
458,Perfume|Perfume,,naked,,,,,,,who gasped and started to seize up in paroxic spasms
459,Perfume,,,,,,,,,was going into shock
460,Perfume,,,,,,her,,,
461,Perfume,,,of the Jacuzzi,,,,,,
462,Perfume,,,,,,her,,,she felt slightly deflated
463,Perfume|Perfume,Ucchan|Perfume|Perfume,,,,,,,,
464,Perfume,Nabiki,,,,,,,,
465,Perfume,Ucchan,,,,,,,,
466,Perfume,,,,,,,a few minutes early,,
467,Perfume,Nabiki,,,,,,,,
468,Perfume|Perfume,Ukyo,,,,in Japan,,,,
469,perky|perky,Amazon,perky|perky,,,,,,,
470,Perfume,,,,,,to Ukyo ' s father,,,
471,Perfume|Perfume|Perfume,,,,,,,,,
472,Perfume|Perfume,Airen,,,,,,,,
473,Perfume|Perfume,,,,,,,,,
474,Perfume,Airen,,,,,,,,
475,Perfume|Perfume,Perfume|Perfume,,,,,,,,
476,Perfume|Perfume,Airen,,,,,,,,
477,Perfume|Perfume,pigs|Perfume|Perfume,,,,,,,,
478,Perfume|Perfume,,,,,,,,,
479,Perfume|Perfume,,bad|very,,,,,,,
480,Perfume|Perfume,,,,,,,,,
481,Perfume|Perfume,,,,,,,,,
482,Perfume|Perfume,Airen,,,,,,,,
483,Perfume|Perfume,,,,,,,,,
484,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
485,Perfume|Perfume,Perfume|Perfume|the grass,,,,,,,,
486,Perfume|Perfume,Perfume|Perfume,,,,,,,,
487,Perfume,,weak,,,,,,,
488,Perfume,,,,,,,,,make mother happy
489,Perfume,Ranran|Linlin,,,,,,,,
490,Perfume|Perfume,Perfume|Perfume,,,,,,,,
491,Perfume|Perfume|Perfume,,,,,,,,,
492,Perfume|Perfume,Perfume|Perfume,,,,,,,,
493,Perfume,,,,like Ranma,,,,,
494,Perfume|Perfume|Perfume,Perfume|Perfume,,,,,,,,
495,Perfume|Perfume|Perfume,,,,,,,,,
496,Perfume|Perfume,,,,,,,,,
497,Perfume,Ranma,,,,,,,,
498,Perfume|Perfume,Shampoo|cousin,,,,,,,,
499,Perfume|Perfume,Perfume|Perfume,,,,,,,,
500,Perfume,,,,,,,,,slightly confused and frustrated
501,Perfume|Perfume,,weak,,,,,,,
502,Perfume,,,,like nerves,,,,,
503,Perfume,,,,like,,,,,
504,Perfume|Perfume,,,,,,,,,
505,Perfume|Perfume|Perfume|Perfume,Perfume|Perfume|Perfume|Perfume,,,,,,,,
506,Perfume|Perfume,,,,,,,,,
507,Perfume,Airen,,,,,,,,
508,Perfume|Perfume,Perfume|Perfume,,,,,,,,
509,Perfume|Perfume|Perfume,Perfume|Perfume,very happy,,,,,,when I around you,
510,Perfume|Perfume,Airen,very happy,,,,,,,make Perfume|Perfume
511,Perfume|Perfume,Perfume|Perfume,,,,,I,,,
512,Perfume|Perfume,,,,,,,,on,
513,Perfume,,,,,,I,,if|for busy crowd of students,
514,Perfume,,,,,,,,when boys try be fresh with me,
515,Perfume glom,,,,,,,,,
516,Perfume|aphrodisiac,,,,,,,,,
517,Perfume|Perfume,,,,,,,,,
518,Perfume,Ukyo,,,,,,,,
519,Perfume,,,,,,One goon,,,
520,Perfume,,,,,,Mousse,,,
521,Perfume,Ukyo ' s Bakers peel|Mousse,,,,,,,,
522,Perfume,cousin,,,,,,,,that bring shame to family
523,Perfume|Perfume,Perfume|Perfume|cousin,,,,,,,,
524,Perfume,Xian,,,,,,,,
525,Perfume,Shampoo,,,,,,,,
526,Perfume,cousin|Lotion,,,,,,,,
527,Perfume|Perfume,Shampoo|Perfume|Perfume,,,,,,,,
528,Perfume|Perfume,Perfume|Perfume|cousin,,,,,,,,
529,Perfume,Lotion,,,,,,,,
