,Book,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
90,abc2171,scent,She|of pomegranates|her,something purely unique|sweet,,,,,,,
91,abc2171,scent|inhaled,almond,sweet|stronger,,,,,,,
92,abc2171,scent,of arousal,,in the air,,,,,,
93,abc2171,scent,of her hair,sweet almond,,,,,,,
94,abc2171,fragrant|fragrant,hair,fragrant|fragrant,,,,,,,
95,abc2171,scent,her,fresh|delectable,,,,,,,
96,abc2171,scented|scented,hair,sweet|scented|scented,,,,,,,
97,abc2171,scent,her,sweet,,,,,,,causing the air to seem dull and not
98,abc2171,inhaling|scent,his,,,,,,,,
99,abc2174,smell,,funny,,,into the room,He|his,,,
100,abc2174,smell,,sweet|fragrant|fragrant,,like fragrant|fragrant flowers from a garden,,,,,
101,abc2174,smell,you,,,like an ashtray,,,,,
102,abc2174,aroma,it,,,,,He,,,attracted customers like bees to pollen
103,abc2174,smell,of ointment,herbal|strong,,,,,,,
104,abc2174,smell,iron,,,,,He,,,
105,abc2174,scent,The other man ' s,,,,,,,,
106,abc2174,perfume,Dead flowers|their,muted,under the lamplight,,in the corner of his room,,,,
107,abc2174,scent,He,,,,,,on other nights,,
108,abc2174,smelled|perfume,it|her,lilac,,like salt,,,,,
109,abc2174,smell,of new rubber tires,quite,,,,,,,
110,abc2174,scented,the flowers in,so sweetly,the air,,,,,,
111,abc2176,smell,one Demeter,,,,,,,,
112,abc2178,stench,Andromache,,,,,,,,
113,abc2190,smell,,fascinatingly arousing feminine,,,the living room,He,,,
114,abc2190,smell,their breaths,addictive,the air,,,they|they,,,
115,abc2191,snuffing,it,,,,,He,,,
116,abc2191,smelled,it,,,like,,,,,
117,abc2191,smelled,cherrywood|rose,,,,,he|he,,,
118,abc2191,smell,of old decay,faint,,,,,,,
119,abc2191,stinking|stinking,of unwashed bodies|pig filth,stinking|stinking,,,,him,,,
120,abc2191,stinking,it,,,like sulphur and rot|like the trenches|like the Rumbling,,he,,,
121,abc2191,smell|smell|stink|stink,the moist greasiness of titan flesh|of blood|sewer|sewer|of pierced bowels,overwhelming metallic|sewer|sewer,,,,she|she,,,
122,abc2191,smell,of old leather and oak,,,,His ostentatious room,,,,
123,abc2191,smell,his,,,,,,,in the middle of sex,making her sick|she|d left bruises and wept that if|she would literally die
124,abc2191,smell,of the other boy ' s lunch,,,,,,,,making him feel nauseous
125,abc2191,smell,her,,on the fabric of the dress,,,he|he,,,
126,abc2191,stink,of oil,stagnant,the atmosphere,,,,,,
127,abc2191,nose|smelled,it|of him,strongly,the blanket,,,,,,
128,abc2191,smelled,of warm salt - water|of the sweet|deep pink flowers,,The air,,on the trees behind the beach,,,,
129,abc2191,reeks,this|this,,,of dog,this|this place,,,,
130,abc2191,smell,of death,,,,,,,,
131,abc2191,scent,of her nape,,,,,,,,
132,abc2191,smell,the warmth of his skin,,,,,she,,,
133,abc2191,sniffing,,,the,,,,,,
134,abc2191,smell,deep fried flat bread,,,of the times she ' d sat,in a warm,,on winter days,,
135,abc2191,nose|smell,his,,,,,,,,
136,abc2191,smelled,petals|the|the water|water|of teak|sandalwood,,the|the water|water,,,,,,
137,abc2191,smell,Ymir|her,so strong|smokey|sweet,,,,,,,
138,abc2191,stink|stink,,,,like waves of stink|stink off a corpse,,,,,
139,abc2191,stink,,,,,,,as the evening wore on,,
140,abc2191,breath|scent,his,,,,,,,"on a dark , cool night",
141,abc2191,smell|smell,her|her,,,,in|in Utgard castle,He,,,brought him back to his desperation in|in
142,abc2191,stink,the crisp evening air|of the ice burst exhaust,sharp chemical,,,,her,,,
143,abc2191,smells,It,,,like her,,,,,
144,abc2191,sniffing,,,,,,He,,,
145,abc2191,smell,of the sewer|death,,,,,,,,
146,abc2191,smell,of hay|shavings|horse,,,,,He,,,
147,abc2191,smelling|smelling,green foliage,spicy smelling|smelling,,,along the riverside,,,,
148,abc2191,it|scent,,,,,,,,,made her feel at ease
149,abc2191,fragrance,,hot|woody,,,,,,,
150,abc2191,smelled,of mint,faint,,,,she,,after her first encounter with,
151,abc2191,smelling,,tainted|brackish,,,,He,,,
152,abc2191,scent,of jasmine|hyacinth,blended,,,,,,,
153,abc2191,smelled,she,,,like crackers and ginger tea,,,,,
154,abc2191,smelled,He,,,like a man,,,,,
155,abc2191,stank,,,,of wet dog and fish,in the back allies and catacombs of,,,,
156,abc2191,smelled,She,,,like her garden,,,,,the feeling of home settled inside him
157,abc2191,nose|smells,He,so good,,,,,,,
158,abc2191,stank,Zeke|he|of|of cigarette|cigarette smoke|smoke,,,of|of cigarette|cigarette smoke|smoke,,,,,
159,abc2191,stink,of death,festering,,,,,,,
160,abc2191,fumes,from the disemboweled land,,,,,,,,
161,abc2191,smelled|fragrant|fragrant|scent,she|rich dirt|wood|them,sweetly fragrant|fragrant|hot grassy,,,,,Now,,
162,abc2194,scent,her,,,,,,,,soothes my heart a little
163,abc2195,smell,the petrichor of the earth,,,,,,,,
164,abc2196,smell,,,,,,we,,,
165,abc2199,smells,of chlorine,,the air,,,,,,
166,abc2202,scent,of roses,,,,,him,,,
167,abc2202,sniffing,the cake,,,,,,,,
168,abc2203,scent,,powerful|thick,,,,,,,
169,abc2203,scent,of this powerful creature,,,,,he,,,
170,abc2204,breath smells,His,,,of,,,,,
171,abc2210,smell,food|of hors d ' oeuvres,,,,,her,,,
172,abc2210,smells,,,,like something has died,in here,,,,
173,abc2210,odour|nostrils,of shattering glass,,,,,,,,
174,abc2210,smell,,perfumed,,,,she|she,,,she|she commences a coughing fit
175,abc2213,smells,,,,of wine and sweat,,,,,
176,abc2213,smell,the hyacinth in,,,,,She,tonight,,
177,abc2213,fragrant|fragrant|smell,Fresh goat milk|oil,fragrant|fragrant,,,from where she,,,,
178,abc2213,smells,the smoke|the,,,,,,,,
179,abc2213,scented,her skin,,,,,,,,
180,abc2213,smells,,,,like her sister,,,In,,
181,abc2213,smell,slaughtered goats and rotten fish,,,,,Emma|Emma|she,,,makes Emma|Emma ' s stomach feel uneasy
182,abc2213,smell,the burning of wood and meat,,,,,she|she,,,
183,abc2213,smell,Some indistinct type of meat,,,like anything,,,,,
184,abc2213,reek,You,,,of god,,,,,
185,abc2213,smells,of|of hot|hot goat|goat|mint,,a cloth,of|of hot|hot goat|goat,,,,,
186,abc2213,perfume,,,,,,,,,warmth stays lodged in her chest
187,abc2213,smelled,,,,,,I,,,
188,abc2215,perfume,her,,,,,his,,,
189,abc2217,scent,her,sweet,,,,he,,,
190,abc2221,smell,salt,smoke,,,,,,,
191,abc2230,smell|tang|tang,of narcissus|of|of ambrosia|ambrosia,,,the honey - like tang|tang of|of ambrosia|ambrosia,,he|his|he,,,
192,abc2230,smell,her|her heat,,,,,,,,
193,abc2235,smell,of charred flesh,,,,,her,,,
194,abc2235,reeked|smelled,It|she,,,of something rotten|like vomit,,,,,
195,abc2235,aroma,of sausage - pepperoni - bacon - beef - meatball goodness,,,,,She,,,
196,abc2235,smelled,Her feathers,,,of|like her hair,,,,,
197,abc2235,smelled,burned flesh,,,,,,For,,her stomach churned in response
198,abc2235,scents,of death,The freshest,,,,,,,
199,abc2235,smell,of it,,,,,,,,
200,abc2235,smell,of burned rubber and used oil,worried|irritable,,,,,,,
201,abc2235,smell,The wet dog,,,,,,,,
202,abc2255,smelled,of disease,,the air,,,,,,
203,abc2259,scent,of something sickly|sickly sweet,sickly|sickly,the air,,,,,,leaving her a little breathless
204,abc2261,scent,,sweet,,,,,,,
205,abc2269,stinking|stinking,mud,stinking|stinking,,,,,,,
206,abc2270,smell|perfume,its,,,,,He,,,
207,abc2270,nose|scent,her,,,,,his,,,
208,abc2277,smell,Achilles ' chosen laundry detergent,,,,,he|his,,When,
209,abc2277,scent|smell|smell,of their chosen laundry detergent|a hint of mothballs|Patroclus,other|third,,,in their backwards neighborhood,Achilles|he|he,ever since he was a kid,,
210,abc2277,smells,wine|it,,,like mildew,,,,,
211,abc2277,smelling,leather seats|salty potato|strawberry flavoring from,,,,,,,,
212,abc2277,smell|aroma,meatloaf,,,,,,,,
213,abc2277,smell,the campfire,,,,,He|he,,,
214,abc2277,scent,of the salt breeze,,,,,,,,
215,abc2277,smell|scent,fruit|of fig leaves,heady|spicy,,,around the house,he,,,
216,abc2277,smelling|scent,of dewdrops|Antihero,,,,,He|Paris,,,
217,abc2277,scent,of fake blood|glue,,,,the medic tent,,,,
218,abc2277,smell,rosemary|thyme|lemon balm,,,,from the balcony next door,He,,,
219,abc2281,smells|perfume,he|grease,,,,,,,,
220,abc2281,smell,of violets|strawberries|spices,,the,,,,,,
221,abc2281,smell,it|of violets|spices|strawberries,,,,,He,,,
222,abc2281,smells,of violets,,,,the workshop,,,,
223,abc2283,smells,smoke|dirt|opened guts,,,,,she,,,a stab
224,abc2283,smell,the sea,,the,,beyond the cliffs,she,By day,,
225,abc2289,smell,sweet oil|of death,,,,,,,,
226,abc2294,scent,of you,,,,in the medicine cabinet|in the closet,,,,
227,abc2301,smell|scent,of roses,the faintest,on the breeze,,,She,,,
228,abc2303,smell,The flowers of daisies|fresh leaves|princess ' s,,,,,,,,that intoxicated her
229,abc2303,reeking|reeking,,reeking|reeking,,,,,,,
230,abc2304,smell,the musk of the Lion,strong|virile,,,,Heracles,,,
231,abc2304,smell|smell,It|male|the sweat,,,of,,the,,,
232,abc2304,scents,of the Lion ' s tailhole,,,,,Heracles,,,
233,abc2304,smelling|tasting,musk|ass,-,,,,,,,
234,abc2307,smell|smell,,pleasant|pleasant,,like the pleasant|pleasant smell|smell of flower carts and cafe pastries from above,,,,,
235,abc2307,smell,of your favorite dinner,,,,,,,,
236,abc2309,smell,of the other lover,,,,,He|he,,,
237,abc2310,whiff,of rose petals,,,,,,,,
238,abc2310,aromantic|aromantic,You,aromantic|aromantic,,,,,,,
239,abc2325,smell|perfume,,faint|floral,,,,the gorgon ',,,
240,abc2350,fragrance,the fruit,,,,,your,,,
241,abc2352,scent,Pleione ' s,more imaginary,,,,,,,
242,abc2352,smell,her,,,,,I,,,
243,abc2352,sniffing,pigs,,,,,,,,
244,abc2359,scent,husk - cherries,,,,,he,,,
245,abc2359,smell|scent,,softly - spiced,,,,He,,,
246,abc2368,scent,,,,,,Its,,,
247,abc2368,smell|scent,"of hot , wet fur|fresh meat|of hunting",,,,,,,,
248,abc2368,smell|scalds|scalds,Coronis|of festering wounds|lavender oil|scalds|scalds on caramel skin,,,,,,,,
249,abc2368,scent,its,,,,,,,,
250,abc2373,smell,of absinthe,strong|sickeningly - sweet,,,,,,,
251,abc2373,scent,of her,,,,,He,,,delirious with lust
252,abc2373,scent,her,,,,,,,,
253,abc2373,scent,her,,,,,his,,,
254,abc2373,smelled,He|of absinthe,,,something like blood,,,,,
255,abc2373,scent,,strange|vague|sweet,,like urine,,her,,,
256,abc2373,scent,,musky,,,the room,,,,
257,abc2373,scent,his|man|of sweat,distinct,the sheets,,,,,,
258,abc2373,alluring|alluring|intoxicating|intoxicating,she,so alluring|alluring|so intoxicating|intoxicating,,,,,,,that it was impossible to resist her
259,abc2373,scent,of his sweet girl,,,,,He,,,
260,abc2373,smell,it|her,,,like,,his,,,bringing back glorious
261,abc2373,scent,of her hair,earthly,,,,He,,,
262,abc2373,scent,her,,,,,,,,
263,abc2373,smelled,nothing,,,,,he,,,
264,abc2373,scented|scented,,scented|scented,,,,,,,
265,abc2373,smell,sweat,,,,,,,,
266,abc2373,scent,of her nectar,,,,,,,,
267,abc2373,stinking|stinking,blood,stinking|stinking,,,,,,,
268,abc2373,scent,His,heavenly,,like rain soaked,,,,,all impurity washed away
269,abc2373,it|scent,of arousal,own,,,,,,,
270,abc2380,smells,,,The air,like smoke,,,,,
271,abc2380,stench,of rot and decay,,,,,,,,
272,abc2381,aromas,of biscuits|papers|shoe polish,,,,from the bakeries|from|all over the streets,,,,
273,abc2395,smelled,Psyche,strongly|faintly,,of sunlight|of nectar|as though she had been sipping at a drink,,,,,
274,abc2395,smell,of brine|roses,strong,in the air,,,,,,
275,abc2395,smell|scents|scent,sweat|deodorant,various|strong|earthy,,,,,,,
276,abc2395,smells,ripe fig trees|golden wheat,pleasing,in a wind,,her gardens,to Diana ' s,,,
277,abc2395,scent,of rich earth,,,,,,,,
278,abc2395,scents,of carrots and meat,,A draft,,,to her,,,her mouth began to water
279,abc2396,scent,,,,,,he,,,
280,abc2407,smells,danger,,,,,,,,
281,abc2413,smells,she,,,like tree bark|like soil,,,,,
282,abc2413,scent,her,,a breeze,,,you,Sometimes,,
283,abc2415,smelled,lotion,,,like flowers,,,,,
284,abc2415,smell,Yia|of salt,,,,,,in summer,,
285,abc2415,smells,something,,,like rubbing alcohol and diesel,,,,,
286,abc2415,smell,a,,,,,,,,makes her eyes water
287,abc2415,smell,his sweatshirt|of him,,,,,,,,
288,abc2417,scent,of honey,sweet,,,,he,,,
289,abc2418,perfumes,oils,,,,,,,,
290,abc2422,smell,it,,in the air,,,she,,,
291,abc2423,smell,of alcohol|the purplish bruises,,,,,to her father,,,
292,abc2428,scent,of moss and pine,,,,,,,,
293,abc2432,aroma,The tea,soft|herbal,,,,,,,
294,abc2432,smell,one of your kind|He,,,,,You,,,
295,abc2432,sniff,the hairs,,,,,The,,,
296,abc2432,fragrant|fragrant,their sap,rich|fragrant|fragrant,,,,,,,
297,abc2432,stench,of burning bedclothes,,,,in one of our hotel ' s honeymoon suites,our ears,,,
298,abc2432,whiff|scent,her|ambrosian,faintly,,,,I,,,
299,abc2432,smelled|smell,"Antinous|an old , withered bouquet of roses|of death",vaguely|permeating,,of,The room|on the,my,for the time,,
300,abc2432,aroma,a bouquet of fresh red roses,seductive,,,,,,,
301,abc2432,libations|libations|scent,,,libations|libations,,,his|his|him,,,
302,abc2432,smelling,of,,,,the sickroom,,,,
303,abc2432,smell,of ozone and rain|the bleating of sheep,,A cold mountain breeze,,through the window,,,,
304,abc2432,stench,of marine death|human terror,,,,,,,,
305,abc2432,sniffing,at the wine,,,,,,,,
306,abc2432,scent|aroma,of herbs|of wine,subtle|potent,the air,,,Aramis '|he,,,
307,abc2432,vapours,of his breath,malodorous,,,,our,,,
308,abc2433,smell,of the flesh,,,,,she,,,
309,abc2435,smell|scent,his,warm smoky,,,,,,,
310,abc2438,smell,blood,,,,in the cool quiet of the temple,I|I,,,it almost turned my stomach .
311,abc2438,reeked,she|of blood and carrion,,,,,,,,
312,abc2438,odor,the wine,horrible,,,,my,,,
313,abc2438,stink,of scandal,faint,,,,,,,
314,abc2451,scent,Her|of sweat|death|decaying flesh,,into the air,,,,,as she dips into the pool,
315,abc2451,stench,of war,,,,,you,,,
316,abc2452,scent,of shrimp,,,,her door,,,,holding back tears
317,abc2452,smell,of the cough syrup,,,,,,,,
318,abc2454,smelled,smoke|godsweat,,,,in the,Aphrodite,,,
319,abc2461,smelled,It|of|of,clean,,of|of laurels,,,,,
320,abc2467,smell,,,the night air,,,you,,,
321,abc2472,smells,Persephone|of earth and dying roses,,,,,,,,
322,abc2474,smell,the other man ' s sweat,,,,,,,,
323,abc2474,smell,Athena,fragrant,the soft breeze,,,in Odysseus ' nostrils,,,
324,abc2474,stench,of terrified porcine bodies,,,,the hall,,,,
325,abc2474,scent,of evergreens,,the air,,,,,,
326,abc2478,smell,her,,,,,he,,,
327,abc2478,scent,,,,,,I,,,
328,abc2482,scent,his|sea,salty,,,,,,,
329,abc2487,smell,the rain|of it,,,,,,,,
330,abc2487,smells|perfume,sister -|' s,,,like a shroud of miasma,,she|his,,,
331,abc2497,smell,food,,,,of the building,he,,,
332,abc2504,smell,,,,,,He|he,,,
333,abc2504,smell,of the skin|citrus,,,,,,,dipped in olive oil,
334,abc2506,sniff,Ares,,,,,,,,
335,abc2512,smell,the,the most,,,,he,,The higher he went up,it sent a shiver down his spine|down to his very core
336,abc2512,smell,of the flowers,,,,,,,,
337,abc2513,smell,of bear blood,,,,,His dogs,,,
338,abc2519,scent,his,,,,,,,,fuel my rage
339,abc2522,breath|sniff,,hot|noisy|long,,,,He,,,
340,abc2522,smelled,It|of dried blood,,,,,,,,
341,abc2523,smell,of food|real food|stews with fried roots,sharp,,,,you,,,
342,abc2523,foul|foul|smelling|smelling,liquid|a hunk,familiar foul|foul - smelling|smelling,,,,,,,
343,abc2525,fragrances,of rose and jasmine,faint,,,,,,,
344,abc2525,smell|breath,the flowers|pink roses|baby ' s,,,,,he,,,
345,abc2525,fragrance,,so strong,,,,,,,that it almost seemed as if Persephone was right next to him
346,abc2525,smelled,she,,,,,,,,
347,abc2525,smelled,Her hair|roses|spice,,,like rain|vanilla,,,,,
348,abc2525,aroma,her,arousing,,,,He,,,drove him crazy
349,abc2525,smell|smell,her|the flowers in her|of her skin|her wetness,,,,,He,,,it was engulfing him
350,abc2525,whiff|essential|essential,pink|blue rose petals|of a few essential|essential oils,,,,,Hades,,,
351,abc2528,scent,of petrichor,,,,,,,,
352,abc2530,smell,,,,,,she|she,,,she|she cringes
353,abc2533,smell,,,,,,,,,made him recoil|had him ill|and her sobbing broke his heart
354,abc2533,scent,her,sweet,,,,,,,
355,abc2533,scent,her,,,,,he,,,
356,abc2533,smelling|scent,her,heady,,,,he,,,
357,abc2533,scent,of her arousal,thick,,,,to him,,,
358,abc2533,scent|smelled,of her|she|of|of flowers|flowers,,,of|of flowers|flowers and sunshine,,,,,enough to drive Hades mad
359,abc2536,smell,,sweeter,,,,,,,that knocks her out of her reminiscence .
360,abc2537,smell,of sheep and the sea,,,,,,,,
361,abc2541,fragrant|fragrant,oils,fragrant|fragrant,,,,,,,
362,abc2541,smell,his skins,,,,behind the wall,She|she,,,
363,abc2541,odor,The pelts,wild|feral,,,,,,,
364,abc2541,smelling|smelling perfumes,,pretty smelling|smelling,,,,,,,
365,abc2541,scent,,fresh,His clothing,of the meadows and rivers that she used to play in as a child,,,,,
366,abc2544,smelled,His pillow,,,like her,,,,,
367,abc2544,scent,her|her,sweet|floral,,,from,he,,whenever he attempted to sleep,
368,abc2550,smells,my blood,more,,,,I,,,
369,abc2550,scents|odor,The various dishes|the sea|iodine,new,the air,,,the small assembly,,,
370,abc2553,aroma,of liquor|hints of sweat,strong|pungent|unpleasant,in the air,,,,,,
371,abc2553,breath smelled|hints,Her|of honey|berries,,,of bubbly champagne,,Artemis,,,
372,abc2553,scented|scented,lip|gloss,scented|scented,,,,,,,
373,abc2553,scent,pretty petals,floral,,,down another hallway,,,,
374,abc2553,smelling|scent,of violets,piquant,,,,Artemis,,,eliciting a whimper from the pink goddess
375,abc2553,scent,of flowers and sweat,,,,,,,,
376,abc2553,aroma,the musk|of Artemis ' arousal,,through the air,,,,,,
377,abc2554,scent,her|of fresh flowers|sunshine|warmth,,,,,He,,,
378,abc2555,smell|perfumed|perfumed|perfumed,of perfumed|perfumed|perfumed incense,perfumed|perfumed|perfumed,,,the room,,,,made her ill as she laid in her chambers
379,abc2558,scent,of blood,,,,around camp,They,,,
380,abc2562,stink,of animal sweat,,,,,,,,
381,abc2562,stank,The burning feathers,,,,,,,,watered Ariadne ' s eyes
382,abc2564,smell,You|him,,,,,,,,
383,abc2572,smell,the flowers,,,,,you,,,
384,abc2575,smells,,,,,off the harbor|from the city,,,,to interfere with conversation
385,abc2575,aroma,from olive trees,distinct,,,,,,,
386,abc2576,scent|scent,the delicate leaves|they|of sun - warmed grass,pungent medicinal,,,,She,,,
387,abc2576,scented|scented,oil,scented|scented,her clustering curls,,,,,,
388,abc2576,perfumes,Oenone,Egyptian,,,below,Paris,,,
389,abc2576,smell|perfume|perfume,Helen ' s perfume|perfume,,,,,She,,,
390,abc2576,scent|perfume,Helen ' s|her,rich,,,,Oenone,,,
391,abc2577,scent,Aphrodite|she,delicious|rather unnerving,about,that|of flowers and chocolate and rainbows,,her,,,to hold on to her anger
392,abc2577,smell|perfume,Aphrodite ' s,even more strongly,,,,Demeter,now,,made her think
393,abc2586,scent,of peonies,,,,,my,,,
394,abc2586,scent,his,,,,,my,,,
395,abc2586,scent|scent,of lavander|his,the most beautiful,,,,i,,,
396,abc2586,smell,of burnt hair,,,,,,,,makes my stomach turn and urges me to vomit
397,abc2586,scent,your,,,,,,,,
398,abc2607,scent,of her arousal,,,,,You|your,,,
399,abc2609,whiffing,aside a few of the autumn leaves,,,,,Carpo,,,
400,abc2611,smelled,Patroclus,rather downcast,,,,,all,,
401,abc2611,smelled,a cottage pie,delectable,,,,he,,,
402,abc2623,smelled,It,so fragrant,the whipping air,,,,,,that even|around her could not diffuse it
403,abc2623,scents,of the underworld plants,delicate,,,into the gardens,she,,,
404,abc2623,fragrance,one of the purple flowers|their,flawless,,,,,,,
405,abc2623,smell,dead vines and leaves|dead plants|of decay,,,,the main room of the temple,she,,,
406,abc2630,smell|smell,of incense being|being,flowery,,,,She|she,,being|being burned,
407,abc2630,smell,It,,,,,,,,
408,abc2633,scent,of fresh soil,,,,,,,,calmed her
409,abc2633,it|smell,,far too sickening,,,,She|she,,if she indulged in it,the headache she always seemed to get
410,abc2633,inhale|scent,of her,,,,,,,,
411,abc2633,inhaling|scent,her,,,,,,,,
412,abc2633,smell,it|it|it,,,,,You,,,
413,abc2633,scent,her,,it,,,,,,
414,abc2633,scent,of home,,the pink blanket,,,,,,
415,abc2633,inhaled|scent,wife ' s,lingering floral,,,,She,,,
416,abc2633,smell|smell,you|the virus,,,,,I|a mortal,,,
417,abc2633,smelling,of armpits,,,,,,,,
418,abc2633,smell,,,,of an earlier,,,,,
419,abc2633,smelled,Anastasia,,on the sheets,,,she,before,When she was placed down on their bed,
420,abc2633,perfume,,close|soapy,their newly washed linen,,,her,,,
421,abc2633,smelled,he,faintly,,like the petting zoo Anastasia had enjoyed,,,,,that she
422,abc2633,smell,,,,,,she,,,
423,abc2633,nose,,,,,,Her,,,to make her shiver
424,abc2633,inhaled|scent,of her,sweet|floral,,,,She,,as she kissed her,
