,Book,Smell_Word,Smell_Source,Quality,Odour_Carrier,Evoked_Odorant,Location,Perceiver,Time,Circumstances,Effect
144,abc2277,scent|smell|smell,of their chosen laundry detergent|a hint of mothballs|Patroclus,other|third,,,in their backwards neighborhood,Achilles|he|he,ever since he was a kid,,
145,abc2277,Scratches,,,,like great big papaya leaves,,,,,
146,abc2277,Smell,that,,,,,,,,
147,abc2277,sniffs,it,,,,,,,,
148,abc2277,smelling,leather seats|salty potato|strawberry flavoring from,,,,,,,,
149,abc2277,smell|aroma,meatloaf,,,,,,,,
150,abc2277,scent,of the salt breeze,,,,,,,,
151,abc2277,sniffs,,,his,,,He,,,
152,abc2277,smelling|scent,of dewdrops|Antihero,,,,,He|Paris,,,
153,abc2277,Smell,O -,,,,,,,,
154,abc2277,scents,the ocean|Achilles ' bonfire|the ointments|blood|guts|The,,,,in the medic tent,I,,,
155,abc2277,scent,of tobacco,,,,into|' living room,he|him,,,
156,abc2277,It,,as bad,,,,,,,
157,abc2277,smells,metal,pretty good,,,,Paris,,,
158,abc2277,smells,Menelaus,good,,"like cedar , sea salt",,,,,
159,abc2281,smells|perfume,he|grease,,,,,,,,
160,abc2281,smell,of violets|strawberries|spices,,the,,,,,,
161,abc2281,smell,it|of violets|spices|strawberries,,,,,He,,,
162,abc2294,scent,of you,,,,in the medicine cabinet|in the closet,,,,
163,abc2303,reeking|reeking,,reeking|reeking,,,,,,,
164,abc2304,smell,the musk of the Lion,strong|virile,,,,Heracles,,,
165,abc2304,smell|smell,It|male|the sweat,,,of,,the,,,
166,abc2304,scents,of the Lion ' s tailhole,,,,,Heracles,,,
167,abc2304,smelling|tasting,musk|ass,-,,,,,,,
168,abc2316,smelled,he,absolutely awful,,,,,,,
169,abc2316,smelled,Pan|of roses,,,,,,,,
170,abc2320,smell,it,,,,,I,At random moments,,
171,abc2359,smell|scent,,softly - spiced,,,,He,,,
172,abc2368,smell|scalds|scalds,Coronis|of festering wounds|lavender oil|scalds|scalds on caramel skin,,,,,,,,
173,abc2368,scent,its,,,,,,,,
174,abc2373,scent,her,,,,,,,,
175,abc2373,odor,the,fetid,,,,he|he,,,he|he found himself between the pig ' s legs
176,abc2373,scented|scented,,scented|scented,,,,,,,
177,abc2373,smells,,,,,into the stadium,him,,,
178,abc2373,it|scent,of arousal,own,,,,,,,
179,abc2380,stench,of rot and decay,,,,,,,,
180,abc2381,smell,the stale cigarettes|takeaway food,,,,in the taxi,him|he,,,makes
181,abc2381,smell,the drink,,,,,He,,,
182,abc2395,smell,of brine|roses,strong,in the air,,,,,,
183,abc2395,smell|scents|scent,sweat|deodorant,various|strong|earthy,,,,,,,
184,abc2396,scent,,clean|crisp,,,,,,,
185,abc2403,smells|scent,of Patroclus ' shampoo,,,,,He,,,
186,abc2406,smelled,Apollo,subtle|beta,,,,,,,
187,abc2415,smell,his sweatshirt|of him,,,,,,,,
188,abc2421,smell,,,,,,He|he,,,
189,abc2428,scent,of moss and pine,,,,,,,,
190,abc2432,Smell|sniff,it|the tuft of hair,,,,,I,,,
191,abc2432,smell,one of your kind|He,,,,,You,,,
192,abc2432,libations|libations|scent,,,libations|libations,,,his|his|him,,,
193,abc2432,smelled,a one like,,,,,We,,,
194,abc2432,sniffing,at the wine,,,,,,,,
195,abc2432,scent,of War,,,,,he,,,
196,abc2432,aroma,of blood,heady,,,,him,,,driving his teeth out despite himself
197,abc2432,sniffed|ichor|ichor,ichor|ichor,,,,,He,,,
198,abc2435,smell|scent,his,warm smoky,,,,,,,
199,abc2459,fragrant|fragrant,It|some kind of dried flower,fragrant|fragrant|very beautiful,,,,,,,
200,abc2467,smell,,,the night air,,,you,,,
201,abc2474,smell,Athena,fragrant,the soft breeze,,,in Odysseus ' nostrils,,,
202,abc2474,smell,of him,,,,,,,,
203,abc2474,scents|smell,of pine trees|olives|their own bodies|of meat roasting,thick,the breeze,,,,,,
204,abc2474,scent,of evergreens,,the air,,,,,,
205,abc2478,smell,her,,,,,he,,,
206,abc2482,scent,his|sea,salty,,,,,,,
207,abc2487,smells|perfume,sister -|' s,,,like a shroud of miasma,,she|his,,,
208,abc2497,stench,of your blood,,,,into my world,,,,
209,abc2504,smell,of the skin|citrus,,,,,,,dipped in olive oil,
210,abc2506,sniff,Ares,,,,,,,,
211,abc2525,inhaled|nostrils|smelling|fragrance,the treasure|its,sweet,,,,through his,,,
212,abc2525,inhaled|aroma,of the fresh flowers,,,,,Hades|his|he,,,
213,abc2525,scent,of roses,,,,into the abode,his,,,giving Hades a tingling sensation
214,abc2525,fragrance,,so strong,,,,,,,that it almost seemed as if Persephone was right next to him
215,abc2525,aroma,her,arousing,,,,He,,,drove him crazy
216,abc2525,smell|smell,her|the flowers in her|of her skin|her wetness,,,,,He,,,it was engulfing him
217,abc2525,whiff|essential|essential,pink|blue rose petals|of a few essential|essential oils,,,,,Hades,,,
218,abc2533,smell,,,,,,,,,made him recoil|had him ill|and her sobbing broke his heart
219,abc2533,smell,blood,,,,,,,,
220,abc2533,scent,of her arousal,thick,,,,to him,,,
221,abc2533,scent|smelled,of her|she|of|of flowers|flowers,,,of|of flowers|flowers and sunshine,,,,,enough to drive Hades mad
222,abc2537,scent,of him,heady mix,,,,I,,,
223,abc2547,smell,you,great,,,,,,,
224,abc2553,smelling|scent,of violets,piquant,,,,Artemis,,,eliciting a whimper from the pink goddess
225,abc2562,stink,of animal sweat,,,,,,,,
226,abc2564,smell,You|him,,,,,,,,
227,abc2572,smell,the flowers,,,,,you,,,
228,abc2573,scent,It,pretty|crisp,,,,him,,,
229,abc2573,sniffing,Icarus,,,,,,,,
230,abc2575,scent,of sandalwood|citrus,faint,,,,,,,
231,abc2575,smell|tang,of the man|marble dust|onions,warm|bright,,,,,,,
232,abc2576,perfumes,Oenone,Egyptian,,,below,Paris,,,
233,abc2586,smells,of him|lavender|peony,,the pillow,,,,,,turning the crack inside of my heart into an endless pit of despair and disappointment
234,abc2586,scent|scent,of lavander|his,the most beautiful,,,,i,,,
235,abc2586,scent,your,,,,,,,,
236,abc2611,smelled,Patroclus,rather downcast,,,,,all,,
237,abc2611,aromas,of chicken soup,,in the chill breeze,,,,,,
238,abc2632,scent,the Greek ',vivid,,,,,,,
239,abc2633,inhaling|scent,her,,,,,,,,
240,abc2633,hues,,luminous,,,,,,,
241,abc2635,smell,the wine,,on,,,his,,,
242,abc2642,smell,flowers,,,,,I,,,
243,abc2643,smelly|smelly,,smelly|smelly,,,,,,,
244,abc2643,smell,her snakes|him,,,,,He|he,,,
245,abc2646,scent|perfume,of Lavender tangled with honey|of the young nymph,thick|sickening,the air,,,his,,as she arrived in the area,
246,abc2654,sniffs,my bulb tray,,,,,he,,,
247,abc2657,scent,,,,,,he|they,,,
248,abc2668,perfume,of spring flowers,delicate,,,,,,,intoxicating his already dizzied mind
249,abc2672,scent,of his omega ' s slick and his own cum,,,,,,,,
250,abc2672,smelled,he,good,,,,,,,
251,abc2676,smells,mater ' s triangular earrings,,in the air,,,,,,will send him shaking or screaming or breaking something .
252,abc2688,smelling,his,,,like warm flour,,He,,,Steve ' s heart gave a tiny leap
253,abc2694,smell,his,the faintest,,,,,,,
254,abc2695,sniffs,Icarus,occasional,,,,,,,break the silence of death ' s garden
255,abc2698,smell,of blood,,,,,he|his,,,
256,abc2699,scent,of him,,,,,,,,
257,abc2702,smells,This,amazing,,,,,,,
258,abc2714,scent,of cedar and smoke,,,,,I|his,,,
259,abc2715,scent,of spring flowers|of ambrosia,subtle,the air,,,,The morning,,
260,abc2715,smelling|smelling,greenery,sweet|smelling|smelling,,,,,,,
261,abc2715,smelling|smelling breath,,Hot|sweet - smelling|smelling,,,,,,,
262,abc2728,breathe|scent,her,hot|moist,,,,,,,
263,abc2728,scent|aroma,of her arousal,heady|entrancing,,,,,now,,
264,abc2735,stink,of the murders,,,,,,,,
265,abc2735,smell,piss,,,,in the corners of the walls,,,,
266,abc2735,smell,that,,,,from a distance,you,,,
267,abc2767,smelled,Dean ' s clothes,faintly,,of apple pie,,,,,
268,abc2767,smelled,Dean|of|of pie|shouts,,,of|of,in his house,,,,
269,abc2777,smells,of human life and work,rich|heavy,,,,his|his,,,his|his body startled
270,abc2777,smells,,,,,the street,Ganymede ' s,,,
271,abc2777,smell,,moist|green,,,,his,,,that startled even him
272,abc2777,smell,of green,wispy,,,,,,,
273,abc2783,scent,of him,heady,,,,,,,
274,abc2802,smells,of jasmine|smoke,familiar,,,,him|he,,,
275,abc2802,smell|scents,of woodsmoke,other,through the air,,,Hector,,,
276,abc2802,scent,of wine,,the air,,,he,,,
277,abc2802,citrus,,fresh,,,,,,,
278,abc2802,scent,of the grass|dirt,,in the cool air,,,He|him,,,
279,abc2802,smell,the oil,,,,,He|of the men next to him,,,
280,abc2802,scent,of Patroclus ' hair,,,,,He,,,
281,abc2809,smells,Nestor,,,like old man,,,,,
282,abc2809,smells|smells,that|it,,,like Nestor,,Patroclus|he,,,
283,abc2809,smells,It,,,like chalk,,he,,on the way up the stairs,
284,abc2809,smells,Achilles,,,,,He,,,
285,abc2809,scent,of him,,,,,,,,
286,abc2810,scent,of lilac,faint,A faint breeze,,,to Thor ' s|he,,,
287,abc2810,scent,of it,,,,,,,,settled him into a comfortable state
288,abc2811,scent,,strange,on the air,,,,,,
289,abc2824,scent,of wine and madness,intoxicating,,,,,,,
290,abc2831,smell,of ripe fruit and corn,taste,,,,,,,
291,abc2833,smell,of the ocean,salty,,,,,,,
292,abc2849,smell,of rotting flesh,,,,,Diomedes,,,
293,abc2865,aromatic|aromatic,oil,aromatic|aromatic,,,,,,,
294,abc2865,appetizer,,sweet,,,,,,,
295,abc2881,smelling,the flowers|the sunshine,,,,,,,,
296,abc2883,scent,of her arousal,,,,,to his,,as she pleasured herself furiously,
297,abc2892,smelled,Ares,,,like sweat and blood,,,,,
298,abc2893,sniffing|aroma,,heavy,,,,,,,fluttering her eyes
299,abc2893,scent,of him,overwhelming,,,,,,,
300,abc2893,smelling,him,,his white,,,,,,
301,abc2893,smell,of death,,,,,him|Minthe,,,
302,abc2894,stinking,he|the|hubris,,,,,,,,
303,abc2896,sniffed,,,the air,,,,,,
304,abc2896,smell,the baked honey,,,,,Apollo,,,
305,abc2897,breath smelled,his|of|of,,,of|of,,,,When Poseidon came to her sleep,
306,abc2900,smelling,liquid|of|of,strongly,,of|of strawberries,,,,,
307,abc2902,scent,of her soft curls,,,,,Hades,,,
308,abc2902,scent,her,,,,,,,,
309,abc2902,smell|nose,of breakfast|Hades,,,,at the end of her bed,his,,,
310,abc2903,aroma,of her cooking,tasty,,,,I,,,
311,abc2904,smell,shaped pancakes|scrambled eggs|sausage|orange juice,,,,,he,,,
312,abc2910,slurring|smelling,Apollo|of vodka,,,,,,,,
313,abc2910,smell,Apollo|of his cologne,enthralling,,,,,,,
314,abc2910,sulfurous|sulfurous,,sulfurous|sulfurous,,,,,,,
315,abc2910,smell,of failure,sour,,,in their crappy apartment in Hoboken,,,,
316,abc2934,smells,Achilles,faintly,,of sea - water,,,,,
317,abc2934,smelled,of Achilles ' sweat,,,,,,,,
318,abc2936,smell,the smoke,,,,,Patroclus|everyone|his,,,
319,abc2937,scented|scented,Apollo,scented|scented,,like honey and flowers and sunshine,,,,,
320,abc2937,smells,Icarus|he,,,like cheap soap and strawberries and sunshine,,,,,
321,abc2949,smell,of his skin,,,,,,,,A chill raced down her spine
322,abc2950,scents,Roses|marigolds|buttercups|sunflowers|flowers,,,,,him|he,,,
323,abc2956,nose|smelling,Hermes ' thick wavy hair|his sandalwood cologne,,,,,He,,,
324,abc2960,smell,,strong|almost nauseating,,,"the small , hot space",,,,Diomedes coughs against it burning in his chest
325,abc2964,smelled|stink,your|on this,,,,,I,,,
326,abc2964,breath,,,,,,,At this point,,
327,abc2964,smell|smell|smell,,,,that,,He,,,
328,abc2964,scenting,,,the air,,,,,,
329,abc2964,smell,of hot cocoa and chocolate chip biskets,,,,,,that night,,
330,abc2964,smelled,a man who,,,like he had recently been buried alive,,The young Ravenstage,,,
331,abc2964,smell|smell|smell,the three hunters|these,skittery,,like thyme or sage,,,,,
332,abc2972,scent,the god,sweet,,,,,,,always making Light ' s mouth water
333,abc2972,smell,,intoxicating,,,,He,,,
334,abc2972,smelling|smelling,dweller,strange|smelling|smelling,,,,,,,
335,abc2979,stinks,He|he,,,of death,,,for ages,,
336,abc2979,smell,his,,,,,,,,
337,abc2982,smell,of cooking venison,,,,,He,,,
338,abc2990,smelling,the roasting flesh of the boy ' s body,,,,,,,when,
339,abc2990,smell,of vomit,,,,,,,,
340,abc2992,scent,it,,,,,' s,,,
341,abc2992,smelled,of sweet succor|death|rot,,,,,,,,
342,abc2992,smelled,,right,in the air,,,,,,
343,abc2992,smells,,,,,it,,,,
344,abc2992,fragrance,of ambrosia|the body,sweet,,,,,,,
345,abc2992,smelling|smelling,,sweetly rose - smelling|smelling,,,,,,,
346,abc2992,smelling|smelling,,rain - smelling|smelling,,,,,,,
347,abc2992,smelling|smelling,,- smelling|smelling,,,,,,,
348,abc2000,smell,,,,,,,,,makes him vomit|that stays in with him
349,abc2000,smell,his own sweat|bile,,,,,he,,,
350,abc2002,obnoxious|obnoxious,,obnoxious|obnoxious,,,,,,,
351,abc2002,nauseous|nauseous,,really nauseous|nauseous,,,,,,,
352,abc2002,stinking|stinking,tuna,stinking|stinking,,,,,,,
353,abc2006,smell,of leaves|of lemon|small yellow blossoms,light,,,,,,,
354,abc2006,smell,the smoke,quite nice,,,,Tony,,,
355,abc2006,sniff|perfume|perfume|perfume,,,,perfume|perfume from his childhood,,He|him,,,
356,abc2006,cologne|cologne|cologne,Howard|s,musky|potent,,kind of old man cologne|cologne,,He,,,
357,abc2006,smelled whiffs|perfume|perfume|scent,,light rose|practical|pleasant|sweet,,of Ana Jarvis ' s perfume|perfume,,,,,
358,abc2006,sniff,a|of|s favourite Italian roasted coffee,,,,,,,,
359,abc2006,smelling|smelling,smoke,sweet - smelling|smelling,,,,,,,
360,abc2006,sniffs,,pitiful,,,,,,,
361,abc2006,smelly|smelly,sticks|sticky forehead juice,nice smelly|smelly,,,in Helheim,,,,
362,abc2017,smell,monsters|other demigods,,,,from a distance,satyrs,,,
363,abc2019,breath|smell|scent,of lavender soap,fading|all too familiar,,,,he,,,
364,abc2031,scent,,,,of summer wine and ripe figs,,him,,,
365,abc2033,smelled,Thanatos|of lavender,,,,,,,,
366,abc2033,smell,that lavender smoke,,,,,He,,,
367,abc2033,stench,,,,,,Thanatos,,,
368,abc2033,smelled,smoke,,,,,he,,,cracked open his eyes
369,abc2033,smelled,the smoke,,on,,,he,,,
370,abc2033,smell,that lavender,,,,into the room,he,,,
371,abc2033,smell,of smoke,,,,,,,,
372,abc2033,smelled,it,,,like Zagreus,,,,,
373,abc2039,smell|perfume,,too strong,,,,Apollo,,,
374,abc2045,perfume,Hera,,,,,,,,
375,abc2049,scented|scented,,sweet - scented|scented,into,,,,,,
376,abc2051,smelled,He|he|of brimstone,,,like something Hades ' s had,,,,,
377,abc2051,smell,of the flowers of the dead,,,,,him,as he,,
378,abc2051,smell,it,the sweetest,,,,,,,
379,abc2051,sniff,it,,,,,,,,
380,abc2051,smell,wood,,,,,him,,,
381,abc2051,smell,of rot,,,,,him,,,
382,abc2051,smell,of his Uncle death,,,,,,,,
383,abc2051,smell,of death,,,,,,,,
384,abc2067,smelling,of lotus flowers,,,,,,,,
385,abc2067,stinking|stinking,Cronus|filthy robes,horrible stinking|stinking,,,,,,,
386,abc2069,smell,anything,,,,,,,,
387,abc2073,smelled,of sweet strawberries,,,,,,,,
388,abc2074,smelled,Briseis,better,,,,,sometimes,,
389,abc2074,smelled,Achilles,,,like expensive cologne,,,now,,
390,abc2082,scent,,fruity,,,,he,,,
391,abc2089,smell,of blood and death,,,,,him,,when he kept provoking wars in the mortal realm,
392,abc2096,smell,her,,,,,,,,
393,abc2110,fragrant|fragrant,Thanatos,fragrant|fragrant,,,,,,,
394,abc2121,smell,of forest and lake water|dry leaves|permafrost,,,,,Apollo,,,
395,abc2145,smelled,the|the wind|wind,wrong,the|the wind|wind,,,him,for,,
396,abc2145,smelled,the|the wind|wind,,the|the wind|wind,like it did in Ithaka,,He,,,
397,abc2145,scent,of wine,rich,,,on the altars,,,,
398,abc2145,smell,the carrion,,the sand,,,,,,
399,abc2145,sniffing,,,,,,Odysseus,,,
400,abc2146,smell,this,,,,,you,,,
401,abc2150,smell,the brine of the sea,,,,,he,,,
402,abc2150,smell,the sea salt,,,,,Patroclus,,,
403,abc2150,smell,a cup of wine,,,,from a nearby table,Patroclus,,,to dissipate
404,abc2150,scent,of iron,heavy,,,,him,,,
405,abc2150,scented|scented,streaming water,scented|scented,,,,him,,,
406,abc2150,scented|scented,oils,scented|scented,,,,,,,
407,abc2150,scent,of fresh blood,heavy,,,,,,,made him a bit nauseous
408,abc2150,smell,Patroclus|of metallic,heavy,,,,him,,,
409,abc2150,scent,of blood,too much,,,,,,,
410,abc2150,scent,his,,,,,Achilles,,,
411,abc2150,scent,of metal,heavy,,,,him,when he entered,,
412,abc2153,scent,Aphrodite|rose,sweet,,,,,,,scouring away the inhibitions that had held Menelaos back
413,abc2160,smells,,,,like Louisiana,into the apartment|in here,,,,
414,abc2160,smelled,a|a self - righteous ball of glowing fluff,,,a|a,,I|I,,,
415,abc2160,smelled,a|a primordial piece of shit,,,a|a,,I|I,,,
416,abc2163,smell,of burning wax,,the air,,,he,,,
417,abc2163,smell,of burning wax,,,,the room,,,,
418,abc2163,smell,of wax,,,,through the workshop,,,,
419,abc2163,smell,of wax,,,,,his,,,
420,abc2163,smells|smell,It,,,like burning wax,,Icarus,,,
421,abc2163,smell,of wax,,the air,,,,,,
422,abc2165,scent,it,,,,,,,before it is curled,
423,abc2165,scented|scented,oils,scented|scented,they,,,,,,
424,abc2171,scent,of arousal,,in the air,,,,,,
425,abc2171,scent,of her hair,sweet almond,,,,,,,
426,abc2171,fragrant|fragrant,hair,fragrant|fragrant,,,,,,,
427,abc2171,scent,her,fresh|delectable,,,,,,,
428,abc2171,scented|scented,hair,sweet|scented|scented,,,,,,,
429,abc2171,scent,her,sweet,,,,,,,causing the air to seem dull and not
430,abc2171,Reek|Reek,Reek|Reek,,,,,Gendry,,,
